hobo_id,median
10088310,5.5265
10234637,5.5945
10347313,4.819
10347320,5.54325
10347321,5.4585
10347327,4.18925
10347328,5.8515
10347355,5.227
10347356,5.5315
10347362,4.9945
10347366,5.9616
10347384,5.65425
10347394,5.16
10350002,4.3715
10350049,5.791
10610854,7.768
10760709,5.407
10760710,5.54798936249645
10760811,5.4755
10760820,6.665
10760822,4.95991666666666
10801139,5.0275
10801141,6.2085
